#        x              poli            horner        diferencia
  -2.744000e-01    1.105444e+04    1.105444e+04    9.765625e-04
  -2.736000e-01    1.104712e+04    1.104711e+04    9.765625e-04
  -2.728000e-01    1.103980e+04    1.103980e+04    9.765625e-04
  -2.720000e-01    1.103250e+04    1.103250e+04    9.765625e-04
  -2.712000e-01    1.102521e+04    1.102521e+04    9.765625e-04
  -2.704000e-01    1.101794e+04    1.101794e+04    9.765625e-04
  -2.696000e-01    1.101067e+04    1.101067e+04    0.000000e+00
  -2.688000e-01    1.100343e+04    1.100343e+04    0.000000e+00
  -2.680000e-01    1.099619e+04    1.099619e+04    9.765625e-04
  -2.672000e-01    1.098897e+04    1.098897e+04    0.000000e+00
  -2.664000e-01    1.098176e+04    1.098176e+04    9.765625e-04
  -2.656000e-01    1.097456e+04    1.097456e+04    0.000000e+00
  -2.648000e-01    1.096738e+04    1.096738e+04    0.000000e+00
  -2.640000e-01    1.096021e+04    1.096021e+04    0.000000e+00
  -2.632000e-01    1.095305e+04    1.095305e+04    0.000000e+00
  -2.624000e-01    1.094590e+04    1.094590e+04    9.765625e-04
  -2.616000e-01    1.093877e+04    1.093877e+04    1.953125e-03
  -2.608000e-01    1.093165e+04    1.093165e+04    0.000000e+00
  -2.600000e-01    1.092455e+04    1.092455e+04    0.000000e+00
  -2.592000e-01    1.091746e+04    1.091746e+04    9.765625e-04
  -2.584000e-01    1.091038e+04    1.091038e+04    9.765625e-04
  -2.576000e-01    1.090331e+04    1.090331e+04    0.000000e+00
  -2.568000e-01    1.089626e+04    1.089626e+04    0.000000e+00
  -2.560000e-01    1.088922e+04    1.088921e+04    9.765625e-04
  -2.552000e-01    1.088219e+04    1.088219e+04    9.765625e-04
  -2.544000e-01    1.087517e+04    1.087517e+04    9.765625e-04
  -2.536000e-01    1.086817e+04    1.086817e+04    0.000000e+00
  -2.528000e-01    1.086118e+04    1.086118e+04    0.000000e+00
  -2.520000e-01    1.085421e+04    1.085421e+04    9.765625e-04
  -2.512000e-01    1.084725e+04    1.084724e+04    9.765625e-04
  -2.504000e-01    1.084029e+04    1.084029e+04    0.000000e+00
  -2.496000e-01    1.083336e+04    1.083336e+04    0.000000e+00
  -2.488000e-01    1.082643e+04    1.082643e+04    0.000000e+00
  -2.480000e-01    1.081952e+04    1.081952e+04    9.765625e-04
  -2.472000e-01    1.081262e+04    1.081262e+04    0.000000e+00
  -2.464000e-01    1.080574e+04    1.080574e+04    0.000000e+00
  -2.456000e-01    1.079886e+04    1.079887e+04    9.765625e-04
  -2.448000e-01    1.079200e+04    1.079200e+04    0.000000e+00
  -2.440000e-01    1.078516e+04    1.078516e+04    0.000000e+00
  -2.432000e-01    1.077832e+04    1.077832e+04    0.000000e+00
  -2.424000e-01    1.077150e+04    1.077150e+04    0.000000e+00
  -2.416000e-01    1.076469e+04    1.076470e+04    9.765625e-04
  -2.408000e-01    1.075790e+04    1.075790e+04    0.000000e+00
  -2.400000e-01    1.075112e+04    1.075112e+04    0.000000e+00
  -2.392000e-01    1.074435e+04    1.074435e+04    9.765625e-04
  -2.384000e-01    1.073759e+04    1.073759e+04    9.765625e-04
  -2.376000e-01    1.073085e+04    1.073085e+04    9.765625e-04
  -2.368000e-01    1.072412e+04    1.072412e+04    9.765625e-04
  -2.360000e-01    1.071740e+04    1.071740e+04    9.765625e-04
  -2.352000e-01    1.071069e+04    1.071069e+04    0.000000e+00
  -2.344000e-01    1.070400e+04    1.070400e+04    9.765625e-04
  -2.336000e-01    1.069732e+04    1.069732e+04    9.765625e-04
  -2.328000e-01    1.069065e+04    1.069065e+04    9.765625e-04
  -2.320000e-01    1.068400e+04    1.068400e+04    0.000000e+00
  -2.312000e-01    1.067736e+04    1.067736e+04    0.000000e+00
  -2.304000e-01    1.067073e+04    1.067073e+04    0.000000e+00
  -2.296000e-01    1.066411e+04    1.066411e+04    0.000000e+00
  -2.288000e-01    1.065751e+04    1.065751e+04    0.000000e+00
  -2.280000e-01    1.065092e+04    1.065092e+04    0.000000e+00
  -2.272000e-01    1.064434e+04    1.064434e+04    9.765625e-04
  -2.264000e-01    1.063777e+04    1.063777e+04    9.765625e-04
  -2.256000e-01    1.063122e+04    1.063122e+04    0.000000e+00
  -2.248000e-01    1.062468e+04    1.062468e+04    0.000000e+00
  -2.240000e-01    1.061816e+04    1.061815e+04    9.765625e-04
