#doneu m, a, b = 
#        x              poli            horner        diferencia
   8.045000e-01    1.124827e-05    1.108646e-05    1.618091e-07
   8.050000e-01    1.007099e-05    9.894371e-06    1.766230e-07
   8.055000e-01    1.021655e-05    1.060963e-05    3.930791e-07
   8.060000e-01    1.040248e-05    1.060963e-05    2.071492e-07
   8.065000e-01    9.420789e-06    1.013279e-05    7.120007e-07
   8.070000e-01    1.009730e-05    1.019239e-05    9.509313e-08
   8.075000e-01    9.106293e-06    9.715557e-06    6.092641e-07
   8.080000e-01    1.012771e-05    9.655952e-06    4.717576e-07
   8.085000e-01    8.900873e-06    1.001358e-05    1.112708e-06
   8.090000e-01    9.235054e-06    9.953976e-06    7.189219e-07
   8.095000e-01    8.476604e-06    9.596348e-06    1.119744e-06
   8.100000e-01    8.525662e-06    9.834766e-06    1.309104e-06
   8.105000e-01    9.502810e-06    8.583069e-06    9.197411e-07
   8.110000e-01    8.341499e-06    8.165836e-06    1.756625e-07
   8.115000e-01    8.712402e-06    8.821487e-06    1.090857e-07
   8.120000e-01    7.966095e-06    8.761883e-06    7.957879e-07
   8.125000e-01    8.147210e-06    8.225441e-06    7.823110e-08
   8.130000e-01    8.424700e-06    7.629395e-06    7.953058e-07
   8.135000e-01    7.701043e-06    7.510185e-06    1.908575e-07
   8.140000e-01    8.271445e-06    7.271767e-06    9.996784e-07
   8.145000e-01    7.356664e-06    6.735325e-06    6.213390e-07
   8.150000e-01    7.712000e-06    8.046627e-06    3.346267e-07
   8.155000e-01    7.674019e-06    7.748604e-06    7.458493e-08
   8.160000e-01    6.504933e-06    7.867813e-06    1.362881e-06
   8.165000e-01    7.225476e-06    7.152557e-06    7.291828e-08
   8.170000e-01    6.027710e-06    7.152557e-06    1.124848e-06
   8.175000e-01    7.390532e-06    5.662441e-06    1.728091e-06
   8.180000e-01    6.627966e-06    7.569790e-06    9.418241e-07
   8.185000e-01    6.719623e-06    5.602837e-06    1.116787e-06
   8.190000e-01    6.583720e-06    5.900860e-06    6.828604e-07
   8.195000e-01    5.692706e-06    6.556511e-06    8.638049e-07
   8.200000e-01    6.396770e-06    6.437302e-06    4.053163e-08
   8.205000e-01    6.776809e-06    5.841255e-06    9.355540e-07
   8.210000e-01    6.195921e-06    6.020069e-06    1.758522e-07
   8.215000e-01    5.147075e-06    5.722046e-06    5.749707e-07
   8.220000e-01    5.831797e-06    6.556511e-06    7.247136e-07
   8.225000e-01    5.595680e-06    5.066395e-06    5.292850e-07
   8.230000e-01    5.867567e-06    5.781651e-06    8.591633e-08
   8.235000e-01    5.642565e-06    5.364418e-06    2.781471e-07
   8.240000e-01    4.946864e-06    5.245209e-06    2.983452e-07
   8.245000e-01    5.268932e-06    5.066395e-06    2.025376e-07
   8.250000e-01    5.387102e-06    5.304813e-06    8.228881e-08
   8.255000e-01    5.622644e-06    5.424023e-06    1.986218e-07
   8.260000e-01    5.630925e-06    4.708767e-06    9.221581e-07
   8.265000e-01    5.254403e-06    4.708767e-06    5.456359e-07
   8.270000e-01    5.089712e-06    4.649162e-06    4.405492e-07
   8.275000e-01    4.453886e-06    5.424023e-06    9.701366e-07
   8.280000e-01    4.169877e-06    5.245209e-06    1.075332e-06
   8.285000e-01    4.478047e-06    4.172325e-06    3.057216e-07
   8.290000e-01    4.547793e-06    3.576279e-06    9.715145e-07
   8.295000e-01    3.977160e-06    3.993511e-06    1.635135e-08
   8.300000e-01    4.217172e-06    3.635883e-06    5.812885e-07
   8.305000e-01    3.939977e-06    3.933907e-06    6.070877e-09
   8.310000e-01    3.793849e-06    3.457069e-06    3.367797e-07
   8.315000e-01    3.968818e-06    3.635883e-06    3.329346e-07
   8.320000e-01    4.052811e-06    4.112720e-06    5.990933e-08
   8.325000e-01    3.993343e-06    2.980232e-06    1.013111e-06
   8.330000e-01    3.887963e-06    2.563000e-06    1.324964e-06
   8.335000e-01    4.100859e-06    3.218651e-06    8.822080e-07
   8.340000e-01    3.806101e-06    4.291534e-06    4.854335e-07
   8.345000e-01    3.634577e-06    3.635883e-06    1.306262e-09
   8.350000e-01    3.288640e-06    4.112720e-06    8.240806e-07
   8.355000e-01    3.605708e-06    3.695488e-06    8.977986e-08
   8.360000e-01    3.551622e-06    3.159046e-06    3.925757e-07
   8.365000e-01    2.988298e-06    3.039837e-06    5.153879e-08
   8.370000e-01    3.018227e-06    2.741814e-06    2.764134e-07
   8.375000e-01    3.587123e-06    2.443790e-06    1.143333e-06
   8.380000e-01    2.934339e-06    3.218651e-06    2.843121e-07
   8.385000e-01    2.144076e-06    2.682209e-06    5.381328e-07
   8.390000e-01    3.464867e-06    3.695488e-06    2.306206e-07
   8.395000e-01    2.987101e-06    2.980232e-06    6.868959e-09
   8.400000e-01    3.018332e-06    2.563000e-06    4.553319e-07
   8.405000e-01    2.679322e-06    1.728535e-06    9.507874e-07
   8.410000e-01    1.901736e-06    2.741814e-06    8.400777e-07
   8.415000e-01    1.801644e-06    2.920628e-06    1.118984e-06
   8.420000e-01    3.262217e-06    2.145767e-06    1.116450e-06
   8.425000e-01    2.901424e-06    1.728535e-06    1.172890e-06
   8.430000e-01    2.762549e-06    2.741814e-06    2.073489e-08
   8.435000e-01    1.818736e-06    2.443790e-06    6.250546e-07
   8.440000e-01    1.518825e-06    2.145767e-06    6.269421e-07
